name,age,net_worth,company,country,industry,education,philanthropy,private_jet,yacht
Florida MacAleese,31,Lev,Twitternation,Bulgaria,real estate,PhD,true,true,false
Filberte Fettiplace,85,Peso,Skiba,Philippines,retail,high school diploma,true,false,false
Drusie Axtell,71,Ruble,Shuffletag,Russia,real estate,bachelor's degree,true,false,false
Wolf Hearty,60,Rupiah,Wordify,Indonesia,retail,master's degree,true,true,true
Millard Kornyakov,36,Dollar,Devshare,United States,retail,master's degree,false,false,true
Maryjo Hriinchenko,33,Dollar,Yata,United States,technology,high school diploma,true,false,true
Gearalt Ber,55,Yuan Renminbi,Edgewire,China,retail,PhD,false,true,true
Verena Swatridge,39,Dinar,Pixope,Serbia,real estate,bachelor's degree,false,false,false
Xenia Illesley,56,Baht,Realfire,Thailand,real estate,master's degree,false,false,false
Allegra Kerwen,51,Euro,Meetz,Portugal,real estate,bachelor's degree,false,false,true
Jarvis Premble,54,Krone,Thoughtworks,Norway,real estate,PhD,true,false,false
Elihu Mulqueen,71,Euro,Oba,Portugal,retail,PhD,false,true,true
Cecil Klehn,82,Ariary,Yamia,Madagascar,finance,high school diploma,false,true,false
Morganne Jahndel,81,Rial,Twitterwire,Iran,retail,master's degree,true,false,true
Cally O'Calleran,48,Denar,Twitterwire,Macedonia,technology,high school diploma,false,true,true
Salome Potteridge,52,Euro,Wordpedia,France,real estate,master's degree,false,true,false
Geneva Elsmere,72,Rupiah,Vinder,Indonesia,technology,master's degree,false,false,true
Tybalt Lynam,64,Peso,Browsebug,Mexico,retail,bachelor's degree,true,false,true
Boote Salsberg,43,Yuan Renminbi,Skinte,China,retail,bachelor's degree,false,false,true
Xenos Nund,80,Yuan Renminbi,Skipfire,China,technology,high school diploma,false,false,true
Gillan Wolfit,37,Kuna,Voonyx,Croatia,finance,master's degree,false,false,false
Vitia Guichard,46,Koruna,Talane,Czech Republic,technology,bachelor's degree,true,false,true
Letizia MacRirie,46,Euro,Devify,Portugal,retail,PhD,false,true,false
Tawnya Maxweell,30,Rupiah,Skippad,Indonesia,technology,PhD,false,true,true
Georgine Jager,47,Dram,Quinu,Armenia,finance,master's degree,true,false,false
Shelagh Beedle,69,Shilling,Zoomdog,Tanzania,technology,bachelor's degree,false,false,false
Hewet Ayliffe,50,Rial,Flashdog,Iran,technology,PhD,true,false,true
Darnell Hurling,50,Gourde,Tekfly,Haiti,finance,bachelor's degree,true,true,true
Rogers Corr,88,Dollar,Eamia,United States,retail,bachelor's degree,true,false,true
Jerri Legion,63,Dollar,Zoonder,Cayman Islands,finance,master's degree,false,false,false
Alla Kevern,71,Euro,Flashdog,Spain,retail,PhD,true,true,false
Bobby Girodier,34,Yuan Renminbi,Avaveo,China,finance,high school diploma,true,false,false
Siouxie Happel,43,Rupiah,Kwilith,Indonesia,technology,PhD,false,false,true
Sidnee Witton,49,Dollar,Ainyx,United States,retail,master's degree,false,false,false
Stanislaw Moakes,54,Yuan Renminbi,Edgetag,China,technology,PhD,false,false,true
Susana Lichtfoth,33,Rupiah,Dynazzy,Indonesia,finance,PhD,false,true,true
Tammie Lackey,56,Yuan Renminbi,Yodel,China,real estate,high school diploma,false,false,true
Cybil Montes,66,Euro,Quatz,Spain,retail,high school diploma,false,false,true
Emmanuel Duigan,90,Sol,Feedfire,Peru,real estate,bachelor's degree,true,true,false
Jess Kingcote,46,Balboa,Ntags,Panama,retail,high school diploma,true,false,false
Orlan Eborn,63,Euro,Livetube,Portugal,finance,bachelor's degree,false,true,true
Rosa Dutnell,60,Peso,Oloo,Mexico,real estate,master's degree,false,true,false
